Accident Year,Accident Date/Time,Operator ID,Operator Name,Pipeline Location,Pipeline Type,Liquid Type,Accident City,Accident County,Accident State,Accident Latitude,Accident Longitude,Cause Category,Cause Subcategory,Unintentional Release (Barrels),Liquid Recovery (Barrels),Net Loss (Barrels),Liquid Ignition,Liquid Explosion,Pipeline Shutdown,All Costs,Address,City,County,State
2010,1/1/2010 7:15 AM,32109,ONEOK NGL PIPELINE LP,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",MCPHERSON,MCPHERSON,KS,38.6707,-97.78123000000001,INCORRECT OPERATION,PIPELINE/EQUIPMENT OVERPRESSURED,21.0,0.0,21.0,NO,NO,NO,1627,"{'road': 'West Hedberg Road', 'hamlet': 'Salemsborg', 'village': 'Falun', 'county': 'Saline County', 'state': 'Kansas', 'postcode': '67442', 'country': 'United States of America', 'country_code': 'us', 1: 'Saline County', 2: 'Kansas'}",Falun,Saline,Kansas
2010,1/4/2010 8:30 AM,15786,PORTLAND PIPELINE CORP,ONSHORE,ABOVEGROUND,CRUDE OIL,RAYMOND,CUMBERLAND,ME,43.94028,-70.49336,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.12,0.12,0.0,NO,NO,,4008,"{'house_number': '338', 'road': 'Meadow Road', 'hamlet': 'Pike Corner', 'county': 'Cumberland County', 'state': 'Maine', 'postcode': '04071', 'country': 'United States of America', 'country_code': 'us', 1: 'Cumberland County', 2: 'Maine'}",Pike Corner,Cumberland,Maine
2010,1/5/2010 10:30 AM,20160,"PETROLOGISTICS OLEFINS, LLC",ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",SULPHER,CALCASIEU,LA,30.1824,-93.3524,MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,2.0,0.0,2.0,NO,NO,,200,"{'road': 'LA 108', 'hamlet': 'Carlyss', 'county': 'Calcasieu Parish', 'state': 'Louisiana', 'postcode': '70665', 'country': 'United States of America', 'country_code': 'us', 1: 'Calcasieu Parish', 2: 'Louisiana'}",Carlyss,Calcasieu Parish,Louisiana
2010,1/6/2010 7:30 PM,11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",ONSHORE,UNDERGROUND,CRUDE OIL,SUPERIOR,DOUGLAS,WI,46.6893,-92.0612,NATURAL FORCE DAMAGE,TEMPERATURE,0.48,0.48,0.0,NO,NO,,11540,"{'road': 'East 21st Street', 'town': 'City of Superior', 'county': 'Bayfield', 'state': 'Wisconsin', 'postcode': '54880', 'country': 'United States of America', 'country_code': 'us', 1: 'Bayfield', 2: 'Wisconsin'}",City of Superior,Bayfield,Wisconsin
2010,1/7/2010 1:00 PM,300,"PLAINS PIPELINE, L.P.",ONSHORE,UNDERGROUND,CRUDE OIL,SHERMAN,GRAYSON,TX,33.58266,-96.64881,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,700.0,698.0,2.0,NO,NO,NO,29650,"{'road': 'Old Dorchester Road', 'hamlet': 'Hilton', 'town': 'Sherman', 'county': 'Grayson County', 'state': 'Texas', 'postcode': '75092-6106', 'country': 'United States of America', 'country_code': 'us', 1: 'Grayson County', 2: 'Texas'}",Sherman,Grayson,Texas
2010,1/8/2010 11:38 PM,11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",ONSHORE,UNDERGROUND,CRUDE OIL,NECHE,PEMBINA,ND,48.99555,-97.52554,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,3784.0,1547.0,2237.0,NO,NO,YES,4194715,"{'road': '109th Street Northeast', 'county': 'Pembina County', 'state': 'North Dakota', 'postcode': '58265', 'country': 'United States of America', 'country_code': 'us', 1: 'Pembina County', 2: 'North Dakota'}",,Pembina,North Dakota
2010,1/9/2010 12:15 AM,26041,"KINDER MORGAN LIQUID TERMINALS, LLC",ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GALENA PARK,HARRIS,TX,29.4305,-95.1201,MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,35.0,30.0,5.0,NO,NO,NO,70400,"{'town': 'League City', 'county': 'Galveston County', 'state': 'Texas', 'postcode': '77517', 'country': 'United States of America', 'country_code': 'us', 1: 'Galveston County', 2: 'Texas'}",League City,Galveston,Texas
2010,1/9/2010 1:12 AM,12624,MOBIL CORP,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",HULL,LIBERTY,TX,30.08533,-94.3805,NATURAL FORCE DAMAGE,TEMPERATURE,0.24,0.0,0.24,NO,NO,,413,"{'county': 'Jefferson County', 'state': 'Texas', 'country': 'United States of America', 'country_code': 'us', 1: 'Jefferson County', 2: 'Texas'}",,Jefferson,Texas
2010,1/10/2010 7:46 PM,26041,"KINDER MORGAN LIQUID TERMINALS, LLC",ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",,,TX,29.4305,-95.1201,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.4,0.4,0.0,NO,NO,,40336,"{'town': 'League City', 'county': 'Galveston County', 'state': 'Texas', 'postcode': '77517', 'country': 'United States of America', 'country_code': 'us', 1: 'Galveston County', 2: 'Texas'}",League City,Galveston,Texas
2010,1/11/2010 2:30 PM,31684,CONOCOPHILLIPS,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",PASADENA,HARRIS,TX,29.714779999999998,-95.17611,ALL OTHER CAUSES,MISCELLANEOUS,0.48,0.48,0.0,NO,NO,NO,30050,"{'road': 'North Deepwater', 'hamlet': 'Golden Acres', 'city': 'Pasadena', 'county': 'Harris County', 'state': 'Texas', 'postcode': '77506', 'country': 'United States of America', 'country_code': 'us', 0: 'Pasadena', 1: 'Harris County', 2: 'Texas'}",Pasadena,Harris,Texas
